NOM USAGE,IDENTIFIANT UNIQUE,DESCRIPTION,TAGS,NOM OBJET,IDENTIFIANT OBJET,CONTROLEUR LUMIERE OBJET,BROCHE LUMIERE OBJET,NOM PIECE,IDENTIFIANT PIECE,COULEUR,POSITION,BROCHE RUBAN LED
Fabriquer soi-même ses cosmétiques,4c49745a-99d6-4f10-8ba3-c3f1c296a57e,Se lancer dans la fabrication de ses propres cosmétiques permet de contrôler les ingrédients utilisés et de réduire l'impact sur l'environnement. Il est important de s'informer sur les bonnes pratiques et de suivre les recettes avec attention pour garantir leur efficacité et leur sécurité. Les ressources en ligne peuvent aider à trouver des idées et des conseils pour réussir ses cosmétiques maison.,maquillage;salon-naturel;produit-de-beauté,Trousse à pharmacie,9a06be59-b668-4673-801b-774e9405e4a7,,,Salle de bain,7190a5b0-92e3-42cb-884e-73b5caa2d5b0,#db7665,260,25
Se proteger des risques d'addiction et des drogues,635c6da3-ccf2-4b95-9a09-28e6426bdbfa,"Pour se protéger des risques d'addiction et des drogues, il est important de se renseigner sur les effets de ces substances et les risques associés, de connaître ses limites et de savoir dire non. Les outils numériques peuvent être utiles pour trouver des informations fiables et des services d'aide, mais il est également essentiel de s'appuyer sur un réseau de soutien physique et émotionnel pour se remettre d'une addiction et accéder à différentes ressources disponibles pour aider à prévenir et traiter l'addiction. L'addiction est une maladie et qu'elle ne doit pas être stigmatisée ou jugée.
",désintoxification;santé-et-prévention,Trousse à pharmacie,9a06be59-b668-4673-801b-774e9405e4a7,,,Salle de bain,7190a5b0-92e3-42cb-884e-73b5caa2d5b0,#db7665,260,25
Se protéger et choisir sa contraception,d1b04093-36f5-4b02-ba44-b0b9c2e8c039,"Se protéger et de choisir sa contraception permet d'éviter les risques de grossesse non désirée et de maladies sexuellement transmissibles. Il est essentiel de considérer la charge contraceptive, c'est-à-dire la responsabilité et les conséquences liées à l'utilisation de celui ou celle qui utilise la contraception. Les outils en ligne peuvent offrir de nombreuses options en matière de contraception, mais il est important de se faire accompagner par un professionnel de santé pour choisir la méthode la plus adaptée à ses besoins et à sa situation",pilulle;stérilet;slip-chauffant;hormone,Trousse à pharmacie,9a06be59-b668-4673-801b-774e9405e4a7,,,Salle de bain,7190a5b0-92e3-42cb-884e-73b5caa2d5b0,#db7665,260,25
Apprendre avec des tutoriels,620eeece-054e-45f5-94fa-7df78557af07,"Apprendre avec des tutoriels en ligne offre de nombreux avantages. Tout d'abord, cela permet d'apprendre à son propre rythme et selon ses propres besoins, en choisissant les sujets et les compétences à développer. Ensuite, cela permet d'accéder à une grande variété de contenus de formation à des prix différents.  il est important de se rappeler que l'apprentissage ne se limite pas aux tutoriels en ligne et que la pratique et la mise en application des compétences apprises sont essentielles.",se-former;apprendre;tutoriels,Bibliothèque,eb7299ee-aafd-41be-b33e-915fa71825be,,,Salon,98dd6d2c-8ede-45c4-a0ea-490e988fd48b,#2F4C27,330,
Lire et pratiquer la lecture,f01c1c40-05f3-4242-922d-747721a37d6f,"Avec l'avènement du numérique, la lecture sur internet est devenue un moyen courant de se divertir et d'acquérir des connaissances.  Il est également important de s'assurer que les informations lues sont de sources crédibles et vérifiées. La lecture en ligne peut parfois conduire à une surcharge d'informations, il est donc crucial d'apprendre à filtrer et à trier les données pour éviter l'overdose d'informations.",bande-dessinée;se-cultiver;livre,Bibliothèque,eb7299ee-aafd-41be-b33e-915fa71825be,,,Salon,98dd6d2c-8ede-45c4-a0ea-490e988fd48b,#2F4C27,330,
Profitez de l’offre culturelle locale,8de63c00-4be8-4829-a435-2dda61031669,"Profiter de l’offre culturelle locale est important pour découvrir et s’immerger dans son territoire. Cela peut inclure la visite de musées, de galeries d'art, de théâtres et d'autres lieux de divertissement culturel. De plus, la participation à des événements culturels locaux, tels que des festivals et des concerts, peut aider à renforcer les liens sociaux, la convivialité et la rencontre d’autrui. ",sortir;découvrir;se-diverstir,Bibliothèque,eb7299ee-aafd-41be-b33e-915fa71825be,,,Salon,98dd6d2c-8ede-45c4-a0ea-490e988fd48b,#2F4C27,330,
héberger (migrant / touriste / couchsurfing / airbnb / etc.),6bde136d-4b47-434d-bc57-f936175ec00b,"L'hébergement chez l'habitant via internet présente plusieurs avantages. Pour les voyageurs, il peut offrir une alternative moins coûteuse aux hôtels et leur permettre de vivre une expérience plus authentique. Cela peut permettre aussi de répondre à des enjeux de solidarité, en hébergeant des personnes dans le besoin.",accueillir;heberger;voyager,Canapé,1fdde539-1bb3-48b2-8d8e-80e5069aeba5,,,Salon,98dd6d2c-8ede-45c4-a0ea-490e988fd48b,#2F4C27,330,
Rencontrer de nouvelles personnes et accueillir des amis,27bc93c9-2a43-40d9-a725-e6b003f73774,"Internet permet de rencontrer de nouvelles personnes grâce à des plateformes dédiées, telles que les réseaux sociaux, les sites de rencontres, les forums, les communautés en ligne, etc. Cependant, il est important de prendre des précautions pour assurer sa sécurité en ligne, en évitant de partager des informations personnelles, en vérifiant l'authenticité des personnes et des profils, en étant vigilant quant aux arnaques et aux fraudes, etc. ",amitié;communauté;rencontrer;réseau-perso,Canapé,1fdde539-1bb3-48b2-8d8e-80e5069aeba5,,,Salon,98dd6d2c-8ede-45c4-a0ea-490e988fd48b,#2F4C27,330,
Écouter et découvrir de la musique,16648da3-d810-4546-abb7-92469622347b,"Internet offre une variété de plateformes pour écouter et découvrir de la musique. Les enjeux comprennent la protection des droits d'auteur, la qualité du son, l'ergonomie des plateformes et la découverte de nouveaux artistes. Les utilisateurs doivent être conscients des risques potentiels de téléchargement illégal.",s'évader;musique,Chaîne Hifi,5182f9c7-bcde-42d9-ad2c-4213a3697ac6,,,Salon,98dd6d2c-8ede-45c4-a0ea-490e988fd48b,#2F4C27,330,
S’informer et suivre l’actualité,a1830f11-55c5-40bc-bd51-5ee5d80dff30,"S'informer et suivre l'actualité sur internet est une pratique de plus en plus courante. Cela permet d'accéder rapidement à une grande quantité d'informations, mais il est important de savoir trier et vérifier les sources pour éviter les fake news. Les réseaux sociaux peuvent être utiles, mais il est préférable de privilégier les sites d'information fiables et de se méfier des articles à sensation. De plus, il est important de respecter les droits d'auteur et de ne pas partager des contenus illégaux.",actualité;actu;information,Journal,56c3ae0d-0b81-4580-82be-c4280ea913c4,,,Salon,98dd6d2c-8ede-45c4-a0ea-490e988fd48b,#2F4C27,330,
Gérer sa consommation d’énergie,0900ef5d-3b4c-4366-b103-bd213592ce4f,"Gérer sa consommation d'énergie est devenu un enjeu majeur pour réduire les coûts et l'impact sur l'environnement. Avec internet, il est possible de surveiller sa consommation et de la réduire en prenant des mesures simples.Il est aussi possible de choisir des équipements électroménagers économes en énergie. Internet offre également des options pour comparer les fournisseurs d'énergie et trouver les offres les plus avantageuses.",energie;facture;economie,Radiateur,5fdccae2-af8c-499b-bd31-36c65f0c1989,,,Salon,98dd6d2c-8ede-45c4-a0ea-490e988fd48b,#2F4C27,330,
Jouer et se divertir seul et en famille,e9f7ca2a-c8b8-4d15-8fa2-6564847f97b9,"Jouer et se divertir sur internet est devenu une pratique courante pour beaucoup de personnes, que ce soit seul ou en famille. Cela permet de découvrir de nouveaux jeux, de passer le temps de manière ludique et de partager des moments de convivialité. ",jeu-de-société;s'amuser;jouer,Table basse,ca5e4efa-d9e4-485b-af10-e4d6c2baa5cd,,,Salon,98dd6d2c-8ede-45c4-a0ea-490e988fd48b,#2F4C27,330,
Jouer en ligne (jeu vidéo),fcde7e1b-43fb-47a5-8a9d-e7826e6c5a20,"Jouer et se divertir sur internet offre de nombreuses opportunités, notamment pour se distraire en famille. Cependant, cela peut également entraîner une dépendance et des risques de sécurité, tels que les jeux d'argent et les achats en ligne compulsifs.
",jeux-online;internet;jeux-vidéos;réseau,TV et console vidéo,674677cc-7ddd-492e-96fd-47d95acf4219,,,Salon,98dd6d2c-8ede-45c4-a0ea-490e988fd48b,#2F4C27,330,
Regarder des vidéos,f17872cf-6de3-4ce0-9197-bc768c711d1d,"Regarder des vidéos sur Internet offre une variété de contenus, mais cela peut aussi présenter des risques pour les personnes ne sachant pas utiliser Internet. Les plateformes de vidéos peuvent contenir des publicités trompeuses, des commentaires inappropriés et des contenus offensants. Il est important de vérifier la source et le contenu de la vidéo avant de la regarder, et éviter la surconsommation.",youtube;vidéaste;se-divertir,TV et console vidéo,674677cc-7ddd-492e-96fd-47d95acf4219,,,Salon,98dd6d2c-8ede-45c4-a0ea-490e988fd48b,#2F4C27,330,
Déménager et changer de lieu de vie,54679fc4-6380-4cf0-b500-892c0db69b8d,"Les bons usages pour déménager et changer de lieu de vie incluent la planification en amont, la recherche d'informations sur le nouveau lieu de vie, ainsi que la mise en place d'une entraide et d'un soutien mutuel avec ses voisins et sa communauté locale pour faciliter la transition.
",déménager;changer-de-vie;cartons,Carton déménagement,c9ea4812-69b5-4e18-9b98-a8eadef1419a,,,Garage,be3c0c63-5d14-45b9-be84-0bd4306ca7e0,#146C71,400,
"Pratiquer des activités artistiques, artisanales et créatives.",114842b9-591c-445c-a887-4c896c335172,"Les activités artistiques, artisanales et créatives stimulent l'imagination, réduisent le stress et favorisent la confiance en soi. Elles permettent également de développer la sociabilité en partageant ses créations avec les autres. Il est important d'accompagner les personnes en situation de fracture numérique pour qu'elles puissent avoir accès à ces activités.
",diy;culture;créativité,Chevalet,ba7d3fbb-66ca-40ea-ae42-a07d7e91aca0,,,Garage,be3c0c63-5d14-45b9-be84-0bd4306ca7e0,#146C71,400,
"Bricoler, fabriquer soi-même et apprendre à utiliser les outils",9029c5f3-0f25-46bf-bc09-ec1416871e4a,"Bricoler et fabriquer soi-même permet de développer ses compétences manuelles et sa créativité, tout en offrant la satisfaction de voir ses projets se concrétiser. Apprendre à utiliser les outils est essentiel pour travailler en sécurité et obtenir de meilleurs résultats.",doityourself;auto-construction;bricolage,Etablis à outils,14089ede-da47-4eac-8764-b643a3df20b9,,,Garage,be3c0c63-5d14-45b9-be84-0bd4306ca7e0,#146C71,400,
Réparer ces objets plutôt que jeter,22c62f4a-d60a-4eb6-b2ce-cf8c37effb17,Privilégier la réparation plutôt que le remplacement permet d'économiser de l'argent et de réduire son empreinte environnementale. Cela favorise également l'entraide entre les personnes en apprenant à réparer et en proposant son aide aux autres.,économie;repair-café;seconde-vie;écologie,Etablis à outils,14089ede-da47-4eac-8764-b643a3df20b9,,,Garage,be3c0c63-5d14-45b9-be84-0bd4306ca7e0,#146C71,400,
Stocker et archiver ses affaires et ses données,f411d459-b6e7-4e06-9c1d-692cab4f46bc,"Pour stocker et archiver ses affaires et ses données de manière efficace et sécurisée, il est important de trier régulièrement et de les organiser dans des espaces de stockage adaptés. Utiliser des solutions numériques comme les services de stockage en ligne peut également être pratique et sûr.",data;archive;historique,Etagère stockage,c4ee5121-4b09-4dd1-b707-26ac6626251a,,,Garage,be3c0c63-5d14-45b9-be84-0bd4306ca7e0,#146C71,400,
"Troquer, vendre et partager des outils",82b70725-da45-43cb-bb96-b70bbc4aa6d1,"Partager ses outils avec ses voisins, troquer ou vendre ses affaires en ligne permet de réduire son empreinte écologique tout en favorisant une économie locale et solidaire. Il est important de sensibiliser les personnes en situation de fracture numérique aux possibilités offertes par ces plateformes collaboratives et de les accompagner pour qu'elles puissent y avoir accès.",revente;échanges;bonplan,Etagère stockage,c4ee5121-4b09-4dd1-b707-26ac6626251a,,,Garage,be3c0c63-5d14-45b9-be84-0bd4306ca7e0,#146C71,400,
Faire de la musique et apprendre un instrument de musique,34beae75-e784-479e-a2ee-281decdd8961,"Jouer de la musique et apprendre un instrument stimule la créativité, réduit le stress et peut renforcer la confiance en soi. Il est important de sensibiliser les personnes en situation de fracture numérique à ces avantages et de les aider à accéder à des ressources musicales",musique;expression,Guitare et ampli,6dc0ef13-6b2d-4150-8107-a037165ec79f,,,Garage,be3c0c63-5d14-45b9-be84-0bd4306ca7e0,#146C71,400,
Choisir et entretenir son moyen de transports,01a3e67f-f665-4fa4-868c-8bc00b664c0c,Choisir et entretenir son moyen de transport permet de réduire son impact environnemental et d'économiser de l'argent. Il est important de se renseigner sur les différentes options et de les entretenir régulièrement pour optimiser leur durée de vie.,train;transport;bus;co-voiturage,Vélo,623b4cd1-2735-4ce0-993a-51d26ed1da99,,,Garage,be3c0c63-5d14-45b9-be84-0bd4306ca7e0,#146C71,400,
Choisir et entretenir son moyen de transports,01a3e67f-f665-4fa4-868c-8bc00b664c0c,Choisir et entretenir son moyen de transport permet de réduire son impact environnemental et d'économiser de l'argent. Il est important de se renseigner sur les différentes options et de les entretenir régulièrement pour optimiser leur durée de vie.,train;transport;bus;co-voiturage,Voiture,72583f29-0420-4284-ab72-f2e2a3359097,,,Garage,be3c0c63-5d14-45b9-be84-0bd4306ca7e0,#146C71,400,
Planifier mes déplacements,d60d5968-90f2-4c40-892e-6ba495a133f4,"Planifier ses déplacements en utilisant les outils numériques tels que les applications de cartographie et les horaires de transport en commun peut aider à optimiser son temps et à réduire les coûts de transport. Cependant, il est important de se familiariser avec ces outils pour en tirer le meilleur parti et de se rappeler de vérifier les mises à jour en temps réel pour éviter les imprévus.
",mobilité;organisation,Vélo,623b4cd1-2735-4ce0-993a-51d26ed1da99,,,Garage,be3c0c63-5d14-45b9-be84-0bd4306ca7e0,#146C71,400,
